year,round,driverId,position,points,positionText,wins
2010,9,michael_schumacher,9,34,9,0
2010,9,sutil,10,31,10,0
2010,9,barrichello,11,19,11,0
2010,9,liuzzi,12,12,12,0
2010,9,kobayashi,13,7,13,0
2010,9,buemi,14,7,14,0
2010,9,petrov,15,6,15,0
2010,9,alguersuari,16,3,16,0
2010,9,hulkenberg,17,1,17,0
2010,9,rosa,18,0,18,0
2010,9,kovalainen,19,0,19,0
2010,9,chandhok,20,0,20,0
2010,9,grassi,21,0,21,0
2010,9,trulli,22,0,22,0
2010,9,bruno_senna,23,0,23,0
2010,9,glock,24,0,24,0
2010,10,hamilton,1,145,1,2
2010,10,button,2,133,2,2
2010,10,webber,3,128,3,3
2010,10,vettel,4,121,4,2
2010,10,alonso,5,98,5,1
2010,10,rosberg,6,90,6,0
2010,10,kubica,7,83,7,0
2010,10,massa,8,67,8,0
2010,10,michael_schumacher,9,36,9,0
2010,10,sutil,10,35,10,0
2010,10,barrichello,11,29,11,0
2010,10,kobayashi,12,15,12,0
2010,10,liuzzi,13,12,13,0
2010,10,buemi,14,7,14,0
2010,10,petrov,15,6,15,0
2010,10,alguersuari,16,3,16,0
2010,10,hulkenberg,17,2,17,0
2010,10,rosa,18,0,18,0
2010,10,kovalainen,19,0,19,0
2010,10,chandhok,20,0,20,0
2010,10,grassi,21,0,21,0
2010,10,trulli,22,0,22,0
2010,10,bruno_senna,23,0,23,0
2010,10,glock,24,0,24,0
2010,10,yamamoto,25,0,25,0
2010,11,hamilton,1,157,1,2
2010,11,button,2,143,2,2
2010,11,webber,3,136,3,3
2010,11,vettel,4,136,4,2
2010,11,alonso,5,123,5,2
2010,11,rosberg,6,94,6,0
2010,11,kubica,7,89,7,0
2010,11,massa,8,85,8,0
2010,11,michael_schumacher,9,38,9,0
2010,11,sutil,10,35,10,0
2010,11,barrichello,11,29,11,0
2010,11,kobayashi,12,15,12,0
2010,11,liuzzi,13,12,13,0
2010,11,petrov,14,7,14,0
2010,11,buemi,15,7,15,0
2010,11,alguersuari,16,3,16,0
2010,11,hulkenberg,17,2,17,0
2010,11,rosa,18,0,18,0
2010,11,kovalainen,19,0,19,0
2010,11,chandhok,20,0,20,0
2010,11,grassi,21,0,21,0
2010,11,trulli,22,0,22,0
2010,11,bruno_senna,23,0,23,0
2010,11,glock,24,0,24,0
2010,11,yamamoto,25,0,25,0
2010,12,webber,1,161,1,4
2010,12,hamilton,2,157,2,2
2010,12,vettel,3,151,3,2
2010,12,button,4,147,4,2
2010,12,alonso,5,141,5,2
2010,12,massa,6,97,6,0
2010,12,rosberg,7,94,7,0
2010,12,kubica,8,89,8,0
2010,12,michael_schumacher,9,38,9,0
2010,12,sutil,10,35,10,0
2010,12,barrichello,11,30,11,0
2010,12,petrov,12,17,12,0
2010,12,kobayashi,13,17,13,0
2010,12,liuzzi,14,12,14,0
2010,12,hulkenberg,15,10,15,0
2010,12,buemi,16,7,16,0
2010,12,rosa,17,6,17,0
2010,12,alguersuari,18,3,18,0
2010,12,kovalainen,19,0,19,0
2010,12,chandhok,20,0,20,0
2010,12,grassi,21,0,21,0
2010,12,trulli,22,0,22,0
2010,12,bruno_senna,23,0,23,0
2010,12,glock,24,0,24,0
2010,12,yamamoto,25,0,25,0
2010,13,hamilton,1,182,1,3
2010,13,webber,2,179,2,4
2010,13,vettel,3,151,3,2
2010,13,button,4,147,4,2
2010,13,alonso,5,141,5,2
2010,13,massa,6,109,6,0
2010,13,kubica,7,104,7,0
2010,13,rosberg,8,102,8,0
2010,13,sutil,9,45,9,0
2010,13,michael_schumacher,10,44,10,0
2010,13,barrichello,11,30,11,0
2010,13,kobayashi,12,21,12,0
2010,13,petrov,13,19,13,0
2010,13,liuzzi,14,13,14,0
2010,13,hulkenberg,15,10,15,0
2010,13,buemi,16,7,16,0
2010,13,rosa,17,6,17,0
2010,13,alguersuari,18,3,18,0
2010,13,kovalainen,19,0,19,0
2010,13,chandhok,20,0,20,0
2010,13,grassi,21,0,21,0
2010,13,trulli,22,0,22,0
2010,13,bruno_senna,23,0,23,0
2010,13,glock,24,0,24,0
2010,13,yamamoto,25,0,25,0
2010,14,webber,1,187,1,4
2010,14,hamilton,2,182,2,3
2010,14,alonso,3,166,3,3
2010,14,button,4,165,4,2
2010,14,vettel,5,163,5,2
2010,14,massa,6,124,6,0
2010,14,rosberg,7,112,7,0
2010,14,kubica,8,108,8,0
2010,14,michael_schumacher,9,46,9,0
2010,14,sutil,10,45,10,0
2010,14,barrichello,11,31,11,0
2010,14,kobayashi,12,21,12,0
2010,14,petrov,13,19,13,0
2010,14,hulkenberg,14,16,14,0
2010,14,liuzzi,15,13,15,0
2010,14,buemi,16,7,16,0
2010,14,rosa,17,6,17,0
2010,14,alguersuari,18,3,18,0
2010,14,kovalainen,19,0,19,0
2010,14,chandhok,20,0,20,0
2010,14,grassi,21,0,21,0
2010,14,trulli,22,0,22,0
2010,14,bruno_senna,23,0,23,0
2010,14,glock,24,0,24,0
2010,14,yamamoto,25,0,25,0
2010,15,webber,1,202,1,4
2010,15,alonso,2,191,2,4
2010,15,hamilton,3,182,3,3
2010,15,vettel,4,181,4,2
2010,15,button,5,177,5,2
2010,15,massa,6,128,6,0
2010,15,rosberg,7,122,7,0
2010,15,kubica,8,114,8,0
2010,15,sutil,9,47,9,0
2010,15,michael_schumacher,10,46,10,0
2010,15,barrichello,11,39,11,0
2010,15,kobayashi,12,21,12,0
2010,15,petrov,13,19,13,0
2010,15,hulkenberg,14,17,14,0
2010,15,liuzzi,15,13,15,0
2010,15,buemi,16,7,16,0
2010,15,rosa,17,6,17,0
2010,15,alguersuari,18,3,18,0
2010,15,kovalainen,19,0,19,0
2010,15,chandhok,20,0,20,0
2010,15,grassi,21,0,21,0
2010,15,trulli,22,0,22,0
2010,15,bruno_senna,23,0,23,0
2010,15,glock,24,0,24,0
2010,15,yamamoto,25,0,25,0
2010,15,heidfeld,26,0,26,0
2010,15,klien,27,0,27,0
2010,16,webber,1,220,1,4
2010,16,alonso,2,206,2,4
2010,16,vettel,3,206,3,3
2010,16,hamilton,4,192,4,3
2010,16,button,5,189,5,2
2010,16,massa,6,128,6,0
2010,16,rosberg,7,122,7,0
2010,16,kubica,8,114,8,0
2010,16,michael_schumacher,9,54,9,0
2010,16,sutil,10,47,10,0
2010,16,barrichello,11,41,11,0
2010,16,kobayashi,12,27,12,0
2010,16,petrov,13,19,13,0
2010,16,hulkenberg,14,17,14,0
2010,16,liuzzi,15,13,15,0
2010,16,buemi,16,8,16,0
2010,16,rosa,17,6,17,0
2010,16,heidfeld,18,4,18,0
2010,16,alguersuari,19,3,19,0
2010,16,kovalainen,20,0,20,0
2010,16,trulli,21,0,21,0
2010,16,chandhok,22,0,22,0
2010,16,grassi,23,0,23,0
2010,16,glock,24,0,24,0
2010,16,bruno_senna,25,0,25,0
2010,16,yamamoto,26,0,26,0
2010,16,klien,27,0,27,0
2010,17,alonso,1,231,1,5
2010,17,webber,2,220,2,4
2010,17,hamilton,3,210,3,3
2010,17,vettel,4,206,4,3
2010,17,button,5,189,5,2
2010,17,massa,6,143,6,0
2010,17,kubica,7,124,7,0
2010,17,rosberg,8,122,8,0
2010,17,michael_schumacher,9,66,9,0
2010,17,barrichello,10,47,10,0
2010,17,sutil,11,47,11,0
2010,17,kobayashi,12,31,12,0
2010,17,liuzzi,13,21,13,0
2010,17,petrov,14,19,14,0
2010,17,hulkenberg,15,18,15,0
2010,17,buemi,16,8,16,0
2010,17,rosa,17,6,17,0
2010,17,heidfeld,18,6,18,0
2010,17,alguersuari,19,3,19,0
2010,17,kovalainen,20,0,20,0
2010,17,trulli,21,0,21,0
2010,17,chandhok,22,0,22,0
2010,17,bruno_senna,23,0,23,0
2010,17,grassi,24,0,24,0
2010,17,glock,25,0,25,0
2010,17,yamamoto,26,0,26,0
2010,17,klien,27,0,27,0
2010,18,alonso,1,246,1,5
2010,18,webber,2,238,2,4
2010,18,vettel,3,231,3,4
2010,18,hamilton,4,222,4,3
2010,18,button,5,199,5,2
2010,18,massa,6,143,6,0
2010,18,rosberg,7,130,7,0
2010,18,kubica,8,126,8,0
2010,18,michael_schumacher,9,72,9,0
2010,18,barrichello,10,47,10,0
2010,18,sutil,11,47,11,0
2010,18,kobayashi,12,32,12,0
2010,18,hulkenberg,13,22,13,0
2010,18,liuzzi,14,21,14,0
2010,18,petrov,15,19,15,0
2010,18,buemi,16,8,16,0
2010,18,rosa,17,6,17,0
2010,18,heidfeld,18,6,18,0
2010,18,alguersuari,19,3,19,0
2010,18,kovalainen,20,0,20,0
2010,18,trulli,21,0,21,0
2010,18,chandhok,22,0,22,0
2010,18,bruno_senna,23,0,23,0
2010,18,grassi,24,0,24,0
2010,18,glock,25,0,25,0
2010,18,yamamoto,26,0,26,0
2010,18,klien,27,0,27,0
2010,19,vettel,1,256,1,5
2010,19,alonso,2,252,2,5
2010,19,webber,3,242,3,4
2010,19,hamilton,4,240,4,3
2010,19,button,5,214,5,2
2010,19,massa,6,144,6,0
2010,19,rosberg,7,142,7,0
2010,19,kubica,8,136,8,0
2010,19,michael_schumacher,9,72,9,0
2010,19,barrichello,10,47,10,0
2010,19,sutil,11,47,11,0
2010,19,kobayashi,12,32,12,0
2010,19,petrov,13,27,13,0
2010,19,hulkenberg,14,22,14,0
2010,19,liuzzi,15,21,15,0
2010,19,buemi,16,8,16,0
2010,19,rosa,17,6,17,0
2010,19,heidfeld,18,6,18,0
2010,19,alguersuari,19,5,19,0
2010,19,kovalainen,20,0,20,0
2010,19,trulli,21,0,21,0
2010,19,chandhok,22,0,22,0
2010,19,bruno_senna,23,0,23,0
2010,19,grassi,24,0,24,0
2010,19,glock,25,0,25,0
2010,19,yamamoto,26,0,26,0
2010,19,klien,27,0,27,0
2011,1,vettel,1,25,1,1
2011,1,hamilton,2,18,2,0
2011,1,petrov,3,15,3,0
2011,1,alonso,4,12,4,0
2011,1,webber,5,10,5,0
2011,1,button,6,8,6,0
2011,1,massa,7,6,7,0
2011,1,buemi,8,4,8,0
2011,1,sutil,9,2,9,0
2011,1,resta,10,1,10,0
2011,1,alguersuari,11,0,11,0
2011,1,heidfeld,12,0,12,0
2011,1,trulli,13,0,13,0
2011,1,ambrosio,14,0,14,0
2011,1,glock,15,0,15,0
2011,1,barrichello,16,0,16,0
2011,1,rosberg,17,0,17,0
2011,1,kovalainen,18,0,18,0
2011,1,michael_schumacher,19,0,19,0
2011,1,maldonado,20,0,20,0
2011,2,vettel,1,50,1,2
2011,2,button,2,26,2,0
2011,2,hamilton,3,22,3,0
2011,2,webber,4,22,4,0
2011,2,alonso,5,20,5,0
2011,2,massa,6,16,6,0
2011,2,heidfeld,7,15,7,0
2011,2,petrov,8,15,8,0
2011,2,kobayashi,9,6,9,0
2011,2,buemi,10,4,10,0
2011,2,sutil,11,2,11,0
2011,2,michael_schumacher,12,2,12,0
2011,2,resta,13,2,13,0
2011,2,alguersuari,14,0,14,0
2011,2,rosberg,15,0,15,0
2011,2,trulli,16,0,16,0
2011,2,ambrosio,17,0,17,0
2011,2,kovalainen,18,0,18,0
2011,2,glock,19,0,19,0
2011,2,perez,20,0,20,0
2011,2,barrichello,21,0,21,0
2011,2,liuzzi,22,0,22,0
2011,2,maldonado,23,0,23,0
2011,2,karthikeyan,24,0,24,0
2011,3,vettel,1,68,1,2
2011,3,hamilton,2,47,2,1
2011,3,button,3,38,3,0
2011,3,webber,4,37,4,0
2011,3,alonso,5,26,5,0
2011,3,massa,6,24,6,0
2011,3,petrov,7,17,7,0
2011,3,heidfeld,8,15,8,0
2011,3,rosberg,9,10,9,0
2011,3,kobayashi,10,7,10,0
2011,3,michael_schumacher,11,6,11,0
2011,3,buemi,12,4,12,0
2011,3,sutil,13,2,13,0
2011,3,resta,14,2,14,0
2011,3,alguersuari,15,0,15,0
2011,3,trulli,16,0,16,0
2011,3,barrichello,17,0,17,0
2011,3,ambrosio,18,0,18,0
2011,3,kovalainen,19,0,19,0
2011,3,glock,20,0,20,0
2011,3,perez,21,0,21,0
2011,3,maldonado,22,0,22,0
2011,3,liuzzi,23,0,23,0
2011,3,karthikeyan,24,0,24,0
2011,4,vettel,1,93,1,3
2011,4,hamilton,2,59,2,1
2011,4,webber,3,55,3,0
2011,4,button,4,46,4,0
2011,4,alonso,5,41,5,0
2011,4,massa,6,24,6,0
2011,4,heidfeld,7,21,7,0
2011,4,petrov,8,21,8,0
2011,4,rosberg,9,20,9,0
2011,4,kobayashi,10,8,10,0
2011,4,michael_schumacher,11,6,11,0
2011,4,buemi,12,6,12,0
2011,4,sutil,13,2,13,0
2011,4,resta,14,2,14,0
2011,4,alguersuari,15,0,15,0
2011,4,barrichello,16,0,16,0
2011,4,trulli,17,0,17,0
2011,4,perez,18,0,18,0
2011,4,ambrosio,19,0,19,0
2011,4,kovalainen,20,0,20,0
2011,4,glock,21,0,21,0
2011,4,maldonado,22,0,22,0
2011,4,karthikeyan,23,0,23,0
2011,4,liuzzi,24,0,24,0
2011,5,vettel,1,118,1,4
2011,5,hamilton,2,77,2,1
2011,5,webber,3,67,3,0
2011,5,button,4,61,4,0
2011,5,alonso,5,51,5,0
2011,5,rosberg,6,26,6,0
2011,5,heidfeld,7,25,7,0
2011,5,massa,8,24,8,0
2011,5,petrov,9,21,9,0
2011,5,michael_schumacher,10,14,10,0
2011,5,kobayashi,11,9,11,0
2011,5,buemi,12,6,12,0
2011,5,sutil,13,2,13,0
2011,5,perez,14,2,14,0
2011,5,resta,15,2,15,0
2011,5,alguersuari,16,0,16,0
2011,5,barrichello,17,0,17,0
2011,5,trulli,18,0,18,0
2011,5,ambrosio,19,0,19,0
2011,5,kovalainen,20,0,20,0
2011,5,maldonado,21,0,21,0
2011,5,glock,22,0,22,0
2011,5,karthikeyan,23,0,23,0
2011,5,liuzzi,24,0,24,0
2011,6,vettel,1,143,1,5
2011,6,hamilton,2,85,2,1
2011,6,webber,3,79,3,0
2011,6,button,4,76,4,0
2011,6,alonso,5,69,5,0
2011,6,heidfeld,6,29,6,0
2011,6,rosberg,7,26,7,0
2011,6,massa,8,24,8,0
2011,6,petrov,9,21,9,0
2011,6,kobayashi,10,19,10,0
2011,6,michael_schumacher,11,14,11,0
2011,6,sutil,12,8,12,0
2011,6,buemi,13,7,13,0
2011,6,barrichello,14,2,14,0
2011,6,perez,15,2,15,0
2011,6,resta,16,2,16,0
2011,6,alguersuari,17,0,17,0
2011,6,trulli,18,0,18,0
2011,6,kovalainen,19,0,19,0
2011,6,ambrosio,20,0,20,0
2011,6,maldonado,21,0,21,0
2011,6,glock,22,0,22,0
2011,6,liuzzi,23,0,23,0
2011,6,karthikeyan,24,0,24,0
2011,7,vettel,1,161,1,5
2011,7,button,2,101,2,1
2011,7,webber,3,94,3,0
2011,7,hamilton,4,85,4,1
2011,7,alonso,5,69,5,0
2011,7,massa,6,32,6,0
2011,7,petrov,7,31,7,0
2011,7,heidfeld,8,29,8,0
2011,7,michael_schumacher,9,26,9,0
2011,7,rosberg,10,26,10,0
2011,7,kobayashi,11,25,11,0
2011,7,sutil,12,8,12,0
2011,7,buemi,13,8,13,0
2011,7,alguersuari,14,4,14,0
2011,7,barrichello,15,4,15,0
2011,7,perez,16,2,16,0
2011,7,resta,17,2,17,0
2011,7,rosa,18,0,18,0
2011,7,trulli,19,0,19,0
2011,7,liuzzi,20,0,20,0
2011,7,ambrosio,21,0,21,0
2011,7,kovalainen,22,0,22,0
2011,7,karthikeyan,23,0,23,0
2011,7,maldonado,24,0,24,0
2011,7,glock,25,0,25,0
2011,8,vettel,1,186,1,6
2011,8,button,2,109,2,1
2011,8,webber,3,109,3,0
2011,8,hamilton,4,97,4,1
2011,8,alonso,5,87,5,0
2011,8,massa,6,42,6,0
2011,8,rosberg,7,32,7,0
2011,8,petrov,8,31,8,0
2011,8,heidfeld,9,30,9,0
2011,8,michael_schumacher,10,26,10,0
2011,8,kobayashi,11,25,11,0
2011,8,sutil,12,10,12,0
2011,8,alguersuari,13,8,13,0
2011,8,buemi,14,8,14,0
2011,8,barrichello,15,4,15,0
2011,8,perez,16,2,16,0
2011,8,resta,17,2,17,0
2011,8,rosa,18,0,18,0
2011,8,trulli,19,0,19,0
2011,8,liuzzi,20,0,20,0
2011,8,ambrosio,21,0,21,0
2011,8,kovalainen,22,0,22,0
2011,8,karthikeyan,23,0,23,0
2011,8,maldonado,24,0,24,0
2011,8,glock,25,0,25,0
2011,9,vettel,1,204,1,6
2011,9,webber,2,124,2,0
2011,9,alonso,3,112,3,1
2011,9,hamilton,4,109,4,1
2011,9,button,5,109,5,1
2011,9,massa,6,52,6,0
2011,9,rosberg,7,40,7,0
2011,9,heidfeld,8,34,8,0
2011,9,petrov,9,31,9,0
2011,9,michael_schumacher,10,28,10,0
2011,9,kobayashi,11,25,11,0
2011,9,sutil,12,10,12,0
2011,9,alguersuari,13,9,13,0
2011,9,perez,14,8,14,0
2011,9,buemi,15,8,15,0
2011,9,barrichello,16,4,16,0
2011,9,resta,17,2,17,0
2011,9,rosa,18,0,18,0
2011,9,trulli,19,0,19,0
2011,9,liuzzi,20,0,20,0
2011,9,ambrosio,21,0,21,0
2011,9,kovalainen,22,0,22,0
2011,9,maldonado,23,0,23,0
2011,9,karthikeyan,24,0,24,0
2011,9,glock,25,0,25,0
2011,9,ricciardo,26,0,26,0
2011,10,vettel,1,216,1,6
2011,10,webber,2,139,2,0
2011,10,hamilton,3,134,3,2
2011,10,alonso,4,130,4,1
2011,10,button,5,109,5,1
2011,10,massa,6,62,6,0
2011,10,rosberg,7,46,7,0
2011,10,heidfeld,8,34,8,0
2011,10,petrov,9,32,9,0
2011,10,michael_schumacher,10,32,10,0
2011,10,kobayashi,11,27,11,0
2011,10,sutil,12,18,12,0
2011,10,alguersuari,13,9,13,0
2011,10,perez,14,8,14,0
2011,10,buemi,15,8,15,0
2011,10,barrichello,16,4,16,0
2011,10,resta,17,2,17,0
2011,10,rosa,18,0,18,0
2011,10,trulli,19,0,19,0
2011,10,liuzzi,20,0,20,0
2011,10,maldonado,21,0,21,0
2011,10,ambrosio,22,0,22,0
2011,10,kovalainen,23,0,23,0
2011,10,glock,24,0,24,0
2011,10,karthikeyan,25,0,25,0
2011,10,ricciardo,26,0,26,0
2011,10,chandhok,27,0,27,0
2011,11,vettel,1,234,1,6
2011,11,webber,2,149,2,0
2011,11,hamilton,3,146,3,2
2011,11,alonso,4,145,4,1
2011,11,button,5,134,5,2
2011,11,massa,6,70,6,0
2011,11,rosberg,7,48,7,0
2011,11,heidfeld,8,34,8,0
2011,11,petrov,9,32,9,0
2011,11,michael_schumacher,10,32,10,0
2011,11,kobayashi,11,27,11,0
2011,11,sutil,12,18,12,0
2011,11,buemi,13,12,13,0
2011,11,alguersuari,14,10,14,0
2011,11,perez,15,8,15,0
2011,11,resta,16,8,16,0
2011,11,barrichello,17,4,17,0
2011,11,rosa,18,0,18,0
2011,11,trulli,19,0,19,0
2011,11,liuzzi,20,0,20,0
2011,11,maldonado,21,0,21,0
2011,11,ambrosio,22,0,22,0
2011,11,kovalainen,23,0,23,0
2011,11,glock,24,0,24,0
2011,11,karthikeyan,25,0,25,0
2011,11,ricciardo,26,0,26,0
2011,11,chandhok,27,0,27,0
2011,12,vettel,1,259,1,7
2011,12,webber,2,167,2,0
2011,12,alonso,3,157,3,1
2011,12,button,4,149,4,2
2011,12,hamilton,5,146,5,2
2011,12,massa,6,74,6,0
2011,12,rosberg,7,56,7,0
2011,12,michael_schumacher,8,42,8,0
2011,12,petrov,9,34,9,0
2011,12,heidfeld,10,34,10,0
2011,12,kobayashi,11,27,11,0
2011,12,sutil,12,24,12,0
2011,12,buemi,13,12,13,0
2011,12,alguersuari,14,10,14,0
2011,12,perez,15,8,15,0
2011,12,resta,16,8,16,0
2011,12,barrichello,17,4,17,0
2011,12,maldonado,18,1,18,0
2011,12,rosa,19,0,19,0
2011,12,trulli,20,0,20,0
2011,12,liuzzi,21,0,21,0
2011,12,bruno_senna,22,0,22,0
2011,12,ambrosio,23,0,23,0
2011,12,kovalainen,24,0,24,0
2011,12,glock,25,0,25,0
2011,12,karthikeyan,26,0,26,0
2011,12,ricciardo,27,0,27,0
2011,12,chandhok,28,0,28,0
2011,13,vettel,1,284,1,8
2011,13,alonso,2,172,2,1
2011,13,button,3,167,3,2
2011,13,webber,4,167,4,0
2011,13,hamilton,5,158,5,2
2011,13,massa,6,82,6,0
2011,13,rosberg,7,56,7,0
2011,13,michael_schumacher,8,52,8,0
2011,13,petrov,9,34,9,0
2011,13,heidfeld,10,34,10,0
2011,13,kobayashi,11,27,11,0
2011,13,sutil,12,24,12,0
2011,13,alguersuari,13,16,13,0
2011,13,buemi,14,13,14,0
